AccelerationX,AccelerationY,AccelerationZ
-0.0132,-0.0128,-0.9966
-0.0161,-0.0018,-0.9928
-0.0099,-0.008,-0.9958
-0.0058,-0.0121,-0.9982
-0.0096,-0.0073,-0.9973
-0.0139,-0.0053,-0.9964
-0.0138,-0.0093,-0.9976
-0.0115,-0.0083,-0.9982
-0.0095,0.0015,-0.9956
-0.0089,0.0077,-0.9964
-0.01,0.0032,-0.9987
-0.0123,-0.0061,-0.9982
-0.0122,-0.0037,-0.9978
-0.011,0.0012,-0.9972
-0.0086,-0.0019,-0.9973
-0.0087,-0.0019,-0.9994
-0.0107,0.0021,-0.9988
-0.0121,0.0018,-0.9972
-0.0102,-0.0037,-0.9985
-0.0086,-0.0051,-0.999
-0.0097,-0.0013,-0.9983
-0.0108,0.0035,-0.9975
